year,globalterrorism,abbr,femadec,state,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,race2,pres2,ideology2,church2,prayer2,unemploy
2008,4785,AR,121,Arkansas,0,L000035,1/3/11,Blanche,Lincoln,Episcopalian,,,,,,1,,0,0,8940,29305,1570,300068,110,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.183,0,0,0,D,NULL,NULL,0,0,0.8521304,3.027569,3.621554,3.389447,2.56962,5.2
2006,2743,MS,0,Mississippi,0,L000447,12/18/07,Trent,Lott,Baptist,,,,,,1,,0,0,9421,14031,707,300069,109,M,sen,1/3/01,12/9/06,0,1,Republican,0.491,1,0,0,R,NULL,NULL,1,0,0.78,2.658291,3.505208,2.462312,2.217172,6.4
2012,8481,IN,6,Indiana,0,L000504,1/3/13,Richard,Lugar,Methodist,,,,,,1,,0,0,10369,14506,1387,300070,112,M,sen,1/4/07,1/3/13,0,1,Republican,0.237,0,1,0,R,NULL,NULL,NULL,NULL,0.8117647,2.697149,3.445535,3.765456,3.090196,8.3
2008,4785,IN,109,Indiana,0,L000504,1/3/13,Richard,Lugar,Methodist,,,,,,1,,0,0,10370,14506,1387,300070,110,M,sen,1/4/07,1/3/13,0,1,Republican,0.249,0,1,0,R,NULL,NULL,NULL,NULL,0.905303,3.112658,3.544192,3.498104,2.911765,6
2010,4805,IN,0,Indiana,0,L000504,1/3/13,Richard,Lugar,Methodist,,,,,,1,,0,0,10371,14506,1387,300070,111,M,sen,1/4/07,1/3/13,0,1,Republican,0.243,0,1,0,R,NULL,NULL,0,1,0.8265139,2.957377,3.661211,3.60802,2.967267,10.6
2006,2743,IN,3,Indiana,0,L000504,1/3/13,Richard,Lugar,Methodist,,,,,,1,,0,0,10368,14506,1387,300070,109,M,sen,1/3/01,12/9/06,0,1,Republican,0.254,1,0,0,R,NULL,NULL,NULL,NULL,0.852809,2.860518,3.366474,2.630385,2.578231,5
2014,16834,WV,9,West Virginia,1,M001183,1/3/19,Joe,Manchin,Catholic,,,,,,,1,0,0,11026,40915,1983,412391,113,M,sen,1/3/13,1/3/19,0,1,Democrat,-0.128,0,0,0,D,1,NULL,1,0,0.9124294,3.240793,3.6034,4.045198,3.508475,6.6
2010,4805,WV,49,West Virginia,0,M001183,1/3/19,Joe,Manchin,Catholic,,,,,,,1,0,0,417,40915,1983,412391,111,M,sen,11/15/10,1/3/13,0,1,Democrat,-0.128,0,0,0,D,NULL,NULL,NULL,NULL,0.9122257,3.097484,3.512579,3.553459,2.711599,9
2012,8481,WV,189,West Virginia,0,M001183,1/3/19,Joe,Manchin,Catholic,,,,,,,1,0,0,416,40915,1983,412391,112,M,sen,11/15/10,1/3/13,0,1,Democrat,-0.128,0,0,0,D,NULL,NULL,NULL,NULL,0.8952096,2.922156,3.613772,3.730539,3.02994,7.4
2014,16834,MA,0,Massachusetts,0,M000133,1/3/21,Edward,Markey,Catholic,,,,,,,1,0,0,11243,14435,735,400253,113,M,sen,7/16/13,1/3/15,0,2,Democrat,-0.565,0,0,0,D,1,NULL,1,0,0.8076923,2.740582,3.134418,4.494007,4.3858,5.8
2006,2743,FL,1,Florida,0,M001162,9/9/09,Mel,Martinez,Catholic,,,,,,,1,0,1,8942,40501,1769,400621,109,M,sen,1/4/05,9/9/09,0,3,Republican,0.327,0,0,0,R,NULL,NULL,0,0,0.714653,2.86867,3.297947,2.941785,2.840329,3.2
2008,4785,FL,119,Florida,1,M001162,9/9/09,Mel,Martinez,Catholic,,,,,,,1,0,1,8943,40501,1769,400621,110,M,sen,1/4/05,9/9/09,0,3,Republican,0.327,0,0,0,R,NULL,NULL,0,0,0.7653248,3.153776,3.440531,3.804856,3.598891,6.1
2010,4805,FL,0,Florida,2,M001162,9/9/09,Mel,Martinez,Catholic,,,,,,,1,0,1,11530,40501,1769,400621,111,M,sen,1/4/05,9/9/09,0,3,Republican,0.327,0,0,0,R,NULL,1,NULL,NULL,0.7195953,2.897312,3.454966,3.895861,3.226993,11.1
