bioguide,state,end_last_term,first,last,AA,Hisp
G000280,VA,1/3/09,Virgil,Goode,,
G000289,VA,1/3/19,Bob,Goodlatte,,
G000291,PA,1/3/01,William,Goodling,,
G000561,WV,11/14/10,Carte,Goodwin,,
G000309,TN,1/3/11,Barton,Gordon,,
G000333,WA,1/3/01,T.,Gorton,,
G000565,AZ,1/3/19,Paul,Gosar,,
G000336,FL,9/23/04,Porter,Goss,,
G000583,NJ,1/3/19,Josh,Gottheimer,,
G000566,SC,1/3/19,Trey,Gowdy,,
G000349,OH,1/31/93,Willis,Gradison,,
G000352,FL,1/3/05,Bob,Graham,,
G000575,FL,1/3/17,Gwen,Graham,,
G000359,SC,1/3/21,Lindsey,Graham,,
G000365,TX,11/29/02,Phil,Gramm,,
G000367,MN,1/3/01,Rod,Grams,,
G000371,IA,1/3/95,Frederick,Grandy,,
G000377,TX,1/3/19,Kay,Granger,,
G000386,IA,1/3/23,Charles,Grassley,,
G000546,MO,1/3/19,Sam,Graves,,
G000560,GA,1/3/19,Tom,Graves,,
G000577,LA,1/3/19,Garret,Graves,,
G000556,FL,1/3/17,Alan,Grayson,,
G000545,WI,1/3/07,Mark,Green,,
G000553,TX,1/3/19,Al,Green,1,
G000410,TX,1/3/19,Gene,Green,,
G000408,UT,1/3/97,Enid,Greene Waldholtz,,
G000439,PA,1/3/05,James,Greenwood,,
G000445,NH,1/3/11,Judd,Gregg,,
G000567,AR,1/3/15,Tim,Griffin,,
G000557,AL,1/3/11,Parker,Griffith,,
G000568,VA,1/3/19,H.,Griffith,,
G000551,AZ,1/3/19,Ral,Grijalva,,1
G000569,NY,1/3/15,Michael,Grimm,,
G000576,WI,1/3/19,Glenn,Grothman,,
G000547,NY,1/3/03,Felix,Grucci,,
G000570,NH,1/3/17,Frank,Guinta,,
G000524,WI,1/3/97,Steven,Gunderson,,
G000558,KY,1/3/19,Brett,Guthrie,,
G000535,IL,1/3/19,Luis,Gutirrez,,1
G000536,MN,1/3/07,Gilbert,Gutknecht,,
H001049,NC,1/3/15,Kay,Hagan,,
H001028,NE,1/3/09,Charles,Hagel,,
